word,part_of_speech,level,taught,week_taught,notes
enough,adj./adv.,1200,no,,
enter,v.,1200,no,,
entrance,n.,800,no,,
envelope,n.,1200,no,,
environment,n.,800,no,,
envy,v./n.,800,no,,
equal,adj./v.,800,no,,
eraser,n.,1200,no,,
error,n.,1200,no,,
especially,adv.,800,no,,
eve,n.,1200,no,,
even,adj./v.,1200,no,,
evening,n.,1200,no,,
event,n.,800,no,,
ever,adv.,1200,no,,
every,adj.,1200,no,,
everybody,pron.,1200,no,,
everyone,pron.,1200,no,,
everything,pron.,1200,no,,
everywhere,adv.,800,no,,
evil,adj./n.,800,no,,
exam,n.,800,no,,
example,n.,1200,no,,
excellent,adj.,1200,no,,
except,v./prep.,1200,no,,
excite,v.,800,no,,
excited,adj.,1200,no,,
exciting,adj.,1200,no,,
excuse,v./n.,1200,no,,
exercise,v./n.,1200,no,,
exist,v.,800,no,,
exit,v./n.,800,no,,
expect,v.,1200,no,,
expensive,adj.,1200,no,,
experience,v./n.,1200,no,,
explain,v.,1200,no,,
express,adj./v.,800,no,,
extra,adj./adv.,800,no,,
eye,v./n.,1200,no,,
face,v./n.,1200,no,,
fact,n.,1200,no,,
factory,n.,1200,no,,
fail,v./n.,1200,no,,
fair,adj./adv.,800,no,,
fall,v./n.,1200,no,,
false,adj.,800,no,,
family,n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
famous,adj.,1200,no,,
fan,v./n.,1200,no,,
fancy,adj./v.,800,no,,
fantastic,adj.,800,no,,
far,adj./adv.,1200,no,,
farm,v./n.,1200,no,,
farmer,n.,1200,no,,
fashionable,adj.,800,no,,
fast,adj./adv.,1200,no,,
fat,adj./n.,1200,no,,
father,v./n.,1200,no,,
faucet,n.,800,no,,
fault,v./n.,800,no,,
favorite,adj./n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
fear,v./n.,800,no,,
February,n.,1200,no,,
fee,n.,800,no,,
feed,v./n.,1200,no,,
feel,v./n.,1200,no,,
feeling,n.,800,no,,
female,adj./n.,800,no,,
fence,v./n.,800,no,,
festival,n.,1200,no,,
fever,n.,1200,no,,
few,adj./pron.,1200,no,,
fifteen,adj./n.,1200,no,,
fifty,adj./n.,1200,no,,
fight,v./n.,1200,no,,
file,v./n.,1200,no,,
fill,v./n.,1200,no,,
film,v./n.,800,no,,
final,adj./n.,800,no,,
finally,adv.,1200,no,,
find,v./n.,1200,no,,
fine,adj./v.,1200,no,,
finger,v./n.,1200,no,,
finish,v./n.,1200,no,,
fire,v./n.,1200,no,,
first,adj./adv.,1200,no,,
fish,v./n.,1200,no,,
fisherman,n.,1200,no,,
fit,adj./v.,800,no,,
five,adj./n.,1200,no,,
fix,v./n.,1200,no,,
flag,v./n.,800,no,,
flashlight,n.,800,no,,
flat tire,n.,800,no,,
flight,n.,800,no,,
floor,v./n.,1200,no,,
flour,v./n.,800,no,,
flower,v./n.,1200,no,,
flu,n.,800,no,,
flute,v./n.,800,no,,
fly,v./n.,1200,no,,
focus,v./n.,800,no,,
fog,v./n.,800,no,,
foggy,adj.,800,no,,
follow,v.,1200,no,,
food,n.,1200,no,,
fool,v./n.,1200,no,,
foolish,adj.,800,no,,
foot,v./n.,1200,no,,
football,n.,800,no,,
for,prep./conj.,1200,no,,
foreign,adj.,1200,no,,
foreigner,n.,1200,no,,
forest,n.,800,no,,
forget,v.,1200,no,,
forgive,v.,800,no,,
fork,v./n.,1200,no,,
form,v./n.,800,no,,
formal,adj.,800,no,,
former,adj.,800,no,,
forty,adj./n.,1200,no,,
forward,adj./v.,800,no,,
four,adj./n.,1200,no,,
fourteen,adj./n.,1200,no,,
fox,n.,1200,no,,
frank,adj.,800,no,,
free,adj./v.,1200,no,,
freedom,n.,800,no,,
freezer,n.,800,no,,
freezing,adj./n.,800,no,,
French fries,n.,1200,no,,
fresh,adj.,1200,no,,
Friday,n.,1200,no,,
fridge,n.,1200,no,,
friend,n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
friendly,adj.,1200,no,,
friendship,n.,800,no,,
fries,n.,1200,no,,
frighten,v.,800,no,,
frisbee,n.,800,no,,
frog,n.,1200,no,,
from,prep.,1200,no,,
front,adj./v.,1200,no,,
fruit,v./n.,1200,no,,
fry,v./n.,1200,no,,
full,adj.,1200,no,,
fun,adj./n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
funny,adj.,1200,no,,
furniture,n.,800,no,,
future,adj./n.,1200,no,,
gain,v./n.,800,no,,
game,n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
garage,v./n.,800,no,,
garbage,n.,1200,no,,
garden,v./n.,1200,no,,
gas,v./n.,1200,no,,
gate,n.,1200,no,,
gather,v.,800,no,,
general,adj./n.,800,no,,
generous,adj.,800,no,,
genius,n.,800,no,,
gentle,adj.,800,no,,
gentleman,n.,800,no,,
geography,n.,800,no,,
gesture,v./n.,800,no,,
get,v.,1200,no,,
ghost,n.,1200,no,,
giant,adj./n.,1200,no,,
gift,n.,1200,no,,
girl,n.,1200,no,,
give,v.,1200,no,,
glad,adj.,1200,no,,
glass,n.,1200,no,,
glasses,n.,1200,no,,
glove,n.,1200,no,,
glue,v./n.,1200,no,,
go,v./n.,1200,no,,
goal,n.,800,no,,
goat,n.,1200,no,,
god,n.,1200,no,,
gold,adj./n.,800,no,,
golden,adj.,800,no,,
golf,v./n.,800,no,,
good,adj./adv.,1200,no,,
goodbye,int./n.,1200,no,,
good-bye,int./n.,1200,no,,
goodness,int./n.,800,no,,
goose,n.,1200,no,,
government,n.,800,no,,
grade,v./n.,1200,no,,
gram,n.,1200,no,,
granddaughter,n.,800,no,,
grandfather,n.,1200,no,,
grandma,n.,1200,no,,
grandmother,n.,1200,no,,
grandpa,n.,1200,no,,
grandson,n.,800,no,,
grape,n.,1200,no,,
grass,n.,1200,no,,
gray,adj./v.,1200,no,,
great,adj./n.,1200,no,,
greedy,adj.,800,no,,
green,adj./v.,1200,no,,
greet,v.,800,no,,
ground,v./n.,1200,no,,
group,v./n.,1200,no,,
grow,v.,1200,no,,
guard,v./n.,800,no,,
guava,n.,1200,no,,
guess,v./n.,1200,no,,
guest,v./n.,800,no,,
guide,v./n.,800,no,,
guitar,n.,1200,no,,
gun,v./n.,800,no,,
guy,n.,1200,no,,
gym,n.,1200,no,,
habit,n.,1200,no,,
hadn't,v.,1200,no,,
hair,n.,1200,no,,
haircut,n.,800,no,,
half,adj./adv.,1200,no,,
hall,n.,800,no,,
Halloween,n.,1200,no,,
ham,n.,1200,no,,
hamburger,n.,1200,no,,
hammer,v./n.,800,no,,
hand,v./n.,1200,no,,
handkerchief,n.,800,no,,
handle,v./n.,800,no,,
handsome,adj.,1200,no,,
hang,v.,1200,no,,
hanger,n.,800,no,,
happen,v.,1200,no,,
happy,adj.,1200,no,,
