word,part_of_speech,level,taught,week_taught,notes
upstairs,adj./adv.,800,no,,
us,pron.,1200,no,,
USA,n.,1200,no,,
use,v./n.,1200,no,,
useful,adj.,1200,no,,
usual,adj.,800,no,,
usually,adv.,1200,no,,
vacation,v./n.,1200,no,,
valley,n.,800,no,,
valuable,adj.,800,no,,
value,v./n.,800,no,,
vegetable,adj./n.,1200,no,,
vendor,n.,800,no,,
very,adj./adv.,1200,no,,
vest,n.,800,no,,
victory,n.,800,no,,
video,adj./v.,1200,no,,
village,n.,800,no,,
vinegar,n.,800,no,,
violin,n.,1200,no,,
visit,v./n.,1200,no,,
visitor,n.,1200,no,,
vocabulary,n.,800,no,,
voice,v./n.,1200,no,,
volleyball,n.,800,no,,
vote,v./n.,800,no,,
waist,n.,800,no,,
wait,v./n.,1200,no,,
waiter,n.,1200,no,,
waitress,n.,1200,no,,
wake,v.,1200,no,,
walk,v./n.,1200,no,,
wall,v./n.,1200,no,,
wallet,n.,1200,no,,
want,v./n.,1200,no,,
war,v./n.,800,no,,
warm,adj./v.,1200,no,,
wash,v./n.,1200,no,,
wasn't,v.,1200,no,,
waste,v./n.,800,no,,
watch,v./n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
water,v./n.,1200,no,,
waterfall,n.,800,no,,
watermelon,n.,1200,no,,
wave,v./n.,1200,no,,
way,adv./n.,1200,no,,
we,pron.,1200,no,,
weak,adj.,1200,no,,
wear,v./n.,1200,no,,
weather,v./n.,1200,no,,
we'd,v.,1200,no,,
wedding,n.,800,no,,
Wednesday,n.,1200,no,,
week,n.,1200,no,,
weekday,n.,800,no,,
weekend,v./n.,1200,yes,01,第一週確認已掌握；不計入正式核心單字額度
weight,n.,800,no,,
welcome,adj./v.,1200,no,,
well,adj./adv.,1200,no,,
we'll,v.,1200,no,,
we're,v.,1200,no,,
weren't,v.,1200,no,,
west,adj./adv.,1200,no,,
wet,adj./v.,1200,no,,
we've,v.,1200,no,,
whale,n.,800,no,,
what,adj./pron.,1200,no,,
what's,v.,1200,no,,
wheel,v./n.,800,no,,
when,adv./conj.,1200,no,,
when's,v.,1200,no,,
where,adv./conj.,1200,no,,
where's,v.,1200,no,,
whether,conj.,1200,no,,
which,adj./pron.,1200,no,,
while,v./conj.,1200,no,,
white,adj./n.,1200,no,,
who,pron.,1200,no,,
who'd,v.,1200,no,,
whole,adj./n.,800,no,,
who's,v.,1200,no,,
whose,pron.,1200,no,,
why,adv./conj.,1200,no,,
wide,adj./adv.,1200,no,,
wife,n.,1200,no,,
wild,adj./adv.,800,no,,
will,v./n.,1200,no,,
win,v./n.,1200,no,,
wind,v./n.,1200,no,,
window,n.,1200,no,,
windy,adj.,1200,no,,
wing,v./n.,800,no,,
winner,n.,800,no,,
winter,n.,1200,no,,
wise,adj.,1200,no,,
wish,v./n.,1200,no,,
with,prep.,1200,no,,
without,adv./prep.,1200,no,,
wok,n.,800,no,,
wolf,n.,800,no,,
woman,n.,1200,no,,
women's room,n.,800,no,,
wonderful,adj.,1200,no,,
won't,v.,1200,no,,
wood,n.,800,no,,
woods,n.,800,no,,
word,v./n.,1200,no,,
work,v./n.,1200,no,,
workbook,n.,1200,no,,
worker,n.,1200,no,,
world,adj./n.,1200,no,,
worm,v./n.,800,no,,
worry,v./n.,1200,no,,
would,v.,1200,no,,
wouldn't,v.,1200,no,,
wound,v./n.,800,no,,
wrist,n.,800,no,,
write,v.,1200,no,,
writer,n.,1200,no,,
wrong,adj./v.,1200,no,,
yard,n.,1200,no,,
yeah,adv.,1200,no,,
year,n.,1200,no,,
yell,v./n.,800,no,,
yellow,adj./v.,1200,no,,
yes,adv./int.,1200,no,,
yesterday,adj./adv.,1200,no,,
yet,adv./conj.,1200,no,,
you,pron.,1200,no,,
you'd,v.,1200,no,,
you'll,v.,1200,no,,
young,adj./n.,1200,no,,
your,pron.,1200,no,,
you're,v.,1200,no,,
yours,pron.,1200,no,,
yourself,pron.,1200,no,,
yourselves,pron.,1200,no,,
youth,n.,800,no,,
you've,v.,1200,no,,
yummy,adj.,1200,no,,
zebra,n.,1200,no,,
zero,adj./v.,1200,no,,
zoo,n.,1200,no,,
